consistent	adj. 一致的
fortress	n. 堡垒，要塞
assurance	n. 保证
fuse	n. 保险丝；导火线
safeguard	n. 保护措施
preservation	n. 保存，储藏；保持
saturation	n. 饱和（状态）；浸透
mist	n. 薄雾 v. 下薄雾
chip	n. 薄片，碎片
inclusive	adj. 包括的
siege	n. 包围，围攻，围困
baseball	n. 棒球运动；棒球
hemisphere	n. 半球
radius	n. 半径距离，半径范围
scar	n. 瘢痕
liner	n. 班船，定期班机
tar	n. 柏油；焦油
blind	n. 百叶窗；窗帘；遮帘
shutter	n. 百叶窗；（相机）快门
lily	n. 百合，百合花
millionaire	n. 百分富翁，巨富
white	adj. 白种（人）的
blond	n. 白肤金发碧眼的人
idiot	n. 白痴；傻子
bank	v. 把钱存入银行
tabulate	v. 把…制成表
bestow	v. 把…赠与
subdivide	v. 把…再分
dock	v. 把…引入船坞
straighten	v. 把…弄直；挺起来
flatten	v. 把…弄平；击倒
ascribe	v. 把…归于
except	v. 把…除外，除去
haughty	adj. 傲慢的，轻蔑的
foul	adj. 肮脏的；丑恶的
patriot	n. 爱国者，爱国主义者
patriotic	adj. 爱国的
dwarf	n. 矮子，侏儒
stout	adj. 肥胖的；厚实牢固的
alas	int. 唉，哎呀
Egyptian	adj. 埃及的 n. 埃及人
pathetic	adj. 哀婉动人的；可怜的
should	v. 应该；竟然会
ought	v. 早应该，本应
scripture	n. 《圣经》；圣书
referee	n. （足球等）裁判员
pendulum	n. （钟等的）摆
outbreak	n. （战争、愤怒等）爆发
market	v. 推销
gross	adj. （语言、举止）粗俗的
heave	v. （用力地）举起；抛
pop	v. （意外地）出现
lining	n. （衣服里的）衬里
mild	adj. 味淡的
panel	n. （选定的）专门小组
climax	n. 顶点
epoch	n. （新）时代；历元
shrimp	n. （小）虾，河虾，褐虾
peak	n. （物体的）尖端
cane	n. （藤等）茎；手杖
drain	v. （水等）流掉
immigrate	v. （使）移居入境
disperse	v. （使）分散；驱散
lump	v. （使）成团，结块
elapse	v. （时间）过去，消逝
hoarse	adj. （声音）嘶哑的
clearing	n. （森林中的）空旷地
eclipse	n. （日，月）食
constitution	n. （人的）体格，素质
spill	n. （人）摔下，跌下
unanimous	adj. （全体）一致的
quiver	v. （轻微地）颤动
perch	n. （禽鸟的）栖木
span	n. （桥墩间的）墩距
pier	n. 码头；（桥）墩
frock	n. （女）连衣裙
flutter	v. （鸟）振翼；飘动
clown	n. （马戏的）小丑，丑角
pace	v. 踱步
pope	n. （罗马天主教的）教皇
axle	n. （轮）轴，车轴，心棒
measurement	n. （量得的）尺寸，大小
realization	n. （理想等的）实现
chord	n. 和弦
pyjamas	n. （宽大的）睡衣裤
hard	adj. （酒）烈性的
refreshment	n. （精力的）恢复，爽快
ticket	n. （交通违章）罚款传票
situation	n. （建筑物等的）位置
software	n. （计算机的）软件
bishop	n. （基督教的）主教
insert	v. 插入，放进
kernel	n. （果实的）核；谷粒
wisdom	n. 智慧
growl	v. （狗等）嗥叫；咆哮
shaft	n. （工具的）柄，杆状物
buzz	v. （蜂等）嗡嗡叫
ear	n. （稻麦等的）穗
dean	n. （大学）院长，系主任
fertile	adj. （创造力）丰富的
sink	n. （厨房内的）洗涤槽
versus	prep. （比赛等中）对
ranch	n. （北美洲的）大牧场
grope	v. （暗中）摸索，探索
pedlar	n. （挨户兜售的）小贩
squat	v. （使）蹲下
fling	v. （用力）扔，抛
scrub	v. 擦洗，擦净 n. 擦洗
tread	v. 踩，踏，践踏
crack	v. 发出爆裂声
slander	n. 诽谤，诋毁 v. 诽谤，诋毁
escort	v. 护卫，护送 n. 护卫者，护送车辆
swell	v. 使膨胀；隆起
menace	n. 威胁 v. （进行）威胁
tramp	v. 以沉重的脚步走（过） n. 跋涉
trample	v. 践踏，蹂躏 n. 践踏，蹂躏
tighten	v. （使）变紧
jingle	v. （使）丁当响
fret	v. （使）烦恼
thrill	v. （使）激动
deflect	v. （使）偏斜
tilt	v. （使）倾斜
revolve	v. （使）旋转
rotate	v. （使）旋转
default	n. 不履行义务 v. 不履行义务
infer	v. 推断
repay	v. 偿还；报答
scoff	v. 嘲笑，嘲弄
hoe	v. 锄地
retort	v. 反击；反驳
broaden	v. 放宽，变阔
decompose	v. 腐败；分解
chorus	v. 合唱，齐声说
supervise	v. 监督，监视
beware	v. 谨防，当心
grab	v. 攫取，抓取
entreat	v. 恳求
concentrate	v. 浓缩，提浓
riot	n. 骚乱，暴乱 v. 发动骚乱
terminate	v. 停止，终止
solidify	v. 凝固
dazzle	v. 使目眩；使倾倒
transplant	v. 移植（器官、皮肤等）；移植，移种（植物）
xerox	v. 用静电复印
peck	v. 啄，啄起
trot	v. （马）小跑 n. （马）小跑；慢跑
ridicule	v. 嘲弄，挖苦 n. 嘲弄，挖苦
chatter	v. 喋喋不休 n. 喋喋不休
sneer	v. 冷笑；嘲笑 n. 冷笑；嘲笑
boycott	v. 联合抵制 n. 抵制行动，受抵制时期
plunder	v. 掠夺，劫掠 n. 掠夺，抢劫
endeavor	v. 努力，尽力 n. 努力，尝试
scramble	v. 爬行，攀登 n. 爬行，攀登
flap	v. 拍打 n. 拍打，拍动
slaughter	v. 屠杀；屠宰 n. 屠杀；屠宰
tow	v. 拖引，牵引 n. 拖引，牵引
credit	v. 相信，信任 n. 相信，信任
clockwise	adv. 顺时针方向转地 adj. 顺时针方向转的
headlong	adv. 头向前地 adj. 头向前的
counter	adv. 相反地 adj. 相反的
eastward	adv. 向东
Moslem	n. 穆斯林 adj. 穆斯林的
melancholy	n. 忧郁的 adj. 忧郁，悲伤
bulletin	n. 告示，公告，公报
allowance	n. 津贴，补助费
surgeon	n. 外科医生
analyse	vt. 分析； 分解， 解析
abrupt	adj. 突然的， 意外的； 唐突的， 鲁莽的
disapproval	n. 不赞成
spontaneous	adj. 自发的， 无意识的； 自然的， 天真率直的
remote	adj. 遥远的， 偏僻的； 关系疏远的； 脱离的； 绝少的； 微乎其微的； 孤高的， 冷淡的
rupture	v. 破裂 n. 破裂，裂开；决裂，断绝
wreck	n. 失事，残骸；精神或身体已垮的人 vt. 破坏
afflict	vt. 使苦恼， 折磨
reproach	n&vt. 责备， 批评
gloomy	adj. 忧郁的， 沮丧的； 令人沮丧的； 昏暗的， 阴沉的
calculate	v. 计算， 推算； 计划， 打算
authorize	vt. 授权， 批准
sake	n. 缘故， 理由
rehearsal	n. 排练， 排演
narrative	n. 叙述文， 故事； 叙述， 讲述
possess	vt. 占用， 拥有
neutral	adj. 中立的， 中性的
analysis	n. 分析， 分析报告； 分解， 解析
devise	vt. 设计， 发明
triple	adj. 三部分的，三方的；三倍的，三重的 v. 增至三倍
temper	n. 韧度；心情，情绪 vt. 调和， 使缓和； 回火
rejoice	vi. 感到高兴， 充满喜悦
object	vi. 反对， 不赞成 n. 实物， 物体； 目的， 目标； 对象， 客体； 宾语
humble	adj. 谦逊的；地位低下的；简陋的 vt. 使谦恭； 使卑下
cliff	n. 悬崖， 峭壁
blur	v. 变模糊 n. 模糊，模糊的东西
concede	vi. 让步， 认输 vt. 承认，承认…为真；承认失败；允许，让予
plausible	adj. 似有道理的， 似乎正确的， 貌似可信的
staircase	n. 楼梯
flip	adj. 〈口〉无理的， 轻率的， 轻浮的 vt. 快速翻动，转动 n. 捻掷，轻抛；轻拍
barricade	n. 路障，栅栏，障碍 vt. 设路障于， 挡住
provocative	adj. 挑衅的， 煽动的， 刺激的； 挑逗的
committee	n. 委员会， 全体委员
posture	vi. 摆出姿势， 装模作样 n. 姿势，姿态；看法，态度
component	adj. 组成的， 构成的 n. 组成部分，部件，组件
suite	n. 套间； 一套家具； 套， 组， 系列
consultant	n. 顾问； 会诊医师， 专科医生
disguise	vt. 假扮，化装，伪装；掩盖，掩饰 n. 用来伪装的东西； 伪装， 掩饰
facet	n. 一个方面； 面
liberal	adj. 心胸宽大的， 慷慨的； 自由的， 自由主义的
surgery	n. 外科， 外科手术； 手术室
harmony	n. 调和； 协调； 和谐
resolve	v. 决定；解决；分解 n. 决心
deadly	adv. 非常， 极度地 adj. 致死的，致命的；不共戴天的；极度的，十足的
compute	v. 计算， 估算
huddle	vi. 聚集在一起，挤作一团；把身子蜷成一团，蜷缩 vt. 使聚集在一起 n. 挤在一起的人； 一堆杂乱的东西
intersection	n. 道路交叉口， 交点
avert	vt. 防止， 避免； 转移
fantasy	n. 想象， 幻想； 想象的产物
external	adj. 外部的， 外面的
provided	conj. 假如， 若是
instrument	n. 仪器， 工具； 乐器
medium	adj. 中等的 n. 媒质，媒介物；传导体
lens	n. 透镜， 镜片； 镜头
envisage	vt. 想象， 设想
motivate	vt. 作为…的动机； 激励， 激发
multiply	v. 增加， 繁殖； 乘
approval	n. 赞成， 同意； 认可， 批准
mobile	adj. 运动的；流动的；多变的 n. 移动电话
multiple	adj. 复合的；多重的，多样的 n. 倍数
expose	vt. 使暴露， 揭露
permissible	adj. 可允许的， 许可的
cancer	n. 癌， 癌症， 肿瘤
atlas	n. 地图集
invisible	adj. 看不见的， 无形的
focus	v. 聚焦；集中 n. 焦点， 中心
exaggeration	n. 夸张； 夸大之词
peg	n. 小钉，栓，挂物钉；桩 vt. 用钉子钉， 用钉固定； 限定； 将…看成， 将…归入
myth	n. 杜撰出来的人； 神话
concise	adj. 简明的， 简要的
implication	n. 含意， 暗示， 暗指； 卷入， 牵连
cordial	adj. 热情友好的， 热诚的
timid	adj. 羞怯的， 胆小的
loyalty	n. 忠诚， 忠心
reform	n&v. 改革， 改良， 改造； 改正， 改过自新
install	vt. 安装， 设置； 使就职， 任命
ensue	vi. 接着发生， 接踵而来， 因而产生
indication	n. 指出， 指示； 迹象， 暗示
bulk	v. 变得越来越大； 使更大 n. 物体，体积；大批
ceramic	adj. 陶器的 n. 陶瓷器
queer	adj. 奇怪的， 异常的； 不舒服的， 眩晕的
enlightenment	n. 启发， 开导； 开明， 文明
booklet	n. 小册子
magnificent	adj. 壮丽的， 华丽的； 极好的
syndrome	n. 综合病症， 综合症状； 一系列表现
meadow	n. 草地
premier	adj. 首要的， 首位的， 首次的 n. 总理，首相
intellectual	adj. 智力的 n. 知识分子
pastry	n. 油酥面团， 酥皮糕点
messenger	n. 送信人， 信使
disable	vt. 丧失能力， 伤残
entity	n. 实体， 独立存在体， 实际存在物
prohibit	vt. 禁止， 不准
fuel	n. 燃料，燃料剂 vt. 给…加燃料； 刺激
tempo	n. 速度； 节奏， 行进速度
associate	v. 把…联系在一起；使联合，结合；交往	[ə'səuʃiət] adj. 副的 n. 伙伴，同事
crawl	n&v. 爬行， 蠕动； 缓慢行进
academic	adj. 学院的；学术的；纯理论的，不切实际的 n. 大学教师
function	vi. 工作， 运行； 起作用 n. 功能，职务；【数】函数；重大聚会
stock	v. 储备 adj. 常用的， 常备的 n. 原料，库存品；股本，公债；世系，血统；汤汁；家畜，牲畜
comparison	n. 比较， 对照； 比拟， 比喻
surge	vi. 蜂拥而出；洋溢，奔放；汹涌，奔腾 n. 洋溢， 奔放； 急剧上升， 猛增； 浪涛般汹涌奔腾
swap	n&v. 交换
tick	vi. 发出滴答声 n. 记号，勾号；滴答声 vt. 给…标记号
basis	n. 基础， 根据； 原则
successive	adj. 连续的， 接连的
paperback	n. 平装本， 简装本
rarely	adv. 不常， 难得
hawk	n. 鹰，隼；“鹰派”人物 vt. 叫卖， 兜售
despise	vt. 鄙视， 看不起
levy	vt. 征收 n. 征税， 税款
intimidate	vt. 恐吓， 威胁
effective	adj. 有效的； 有影响的
unity	n. 单一， 统一， 团结； 和睦， 协调
catastrophe	n. 大灾难， 灾祸
design	vt. 设计；预定，指定 n. 设计， 构想； 图样； 企图
coincidence	n. 巧合， 巧事； 一致， 符合
bust	vi. 爆裂，坏掉 vt. 打破，打碎 n. 胸像， 半身像； 胸部， 胸围
skull	n. 颅骨， 脑壳
hysterical	adj. 情绪异常激动的， 歇斯底里般的
lane	n. 小路， 跑道； 航道， 航线
ammunition	n. 弹药， 军火
chief	adj. 主要的，为首的；总的 n. 首领， 长官； 酋长， 族长
foremost	adj. 最好的， 最著名的， 最重要的
despite	prep. 不管， 不顾
consecutive	adj. 连续的， 连贯的
assimilation	n. 同化， 同化作用； 消化
groan	vi. 呻吟，抱怨；发出呻吟般的声音 n. 呻吟， 抱怨； 呻吟般的声音
industrial	adj. 工业的， 产业的
stable	adj. 稳定的，不变的；沉稳的，持重的 n. 厩， 马厩， 牛棚
respond	vi. 回答， 答复； 作出反应， 响应
incident	n. 发生的事， 事件
lame	adj. 跛的， 瘸的； 站不住脚的， 差劲的； 蹩脚的
tub	n. 桶， 塑料杯， 纸杯； 盆， 洗澡盆， 浴缸
apparatus	n. 器械， 器具， 仪器； 机构， 组织
lieutenant	n. 陆军中尉； 海军上尉
grieve	vi. 感到悲痛，伤心 vt. 使伤心， 为…而伤心
absorb	vt. 吸收； 吸引…的注意， 使全神贯注； 把…并入， 同化
pact	n. 契约， 协定， 条约
notation	n. 记号， 标记法
recycle	vt. 回收利用
element	n. 成分， 要素， 元素； 基础， 纲要； 自然力
abundant	adj. 丰富的， 富裕的； 大量的， 充足的
exclaim	vi. 呼喊， 惊叫
recognize	vt. 认出， 识别； 承认， 确认， 认可； 赏识， 表彰， 报偿
restraint	n. 抑制， 限制， 克制； 约束措施， 约束条件
pollutant	n. 污染物质
abnormal	adj. 反常的， 异常的
molecule	n. 分子
diligent	adj. 勤勉的， 勤奋的
dread	vt. 担忧，忧虑；惧怕 n. 担忧， 畏惧
scrutiny	n. 详细检查， 仔细观察
chase	n&vt. 追逐， 追赶， 追求
accident	n. 意外， 事故
attack	n&vt. 攻击， 进攻； 突然发作
divorce	n. 离婚，离异 vt. 离婚； 分离， 脱离
tariff	n. 关税， 税率； 价目表， 收费表
attach	vt. 缚， 系， 贴， 附加； 使依恋， 使喜爱； 使附属； 认为有
graphic	adj. 生动的， 形象的； 绘画的， 文字的， 图表的
retention	n. 保留， 保持
creation	n. 创造， 创建； 创造的作品， 产物； 宇宙， 天地万物
dodge	vi. 闪身躲开 vt. 回避，逃避 n. 托辞， 伎俩； 躲闪， 躲避
inhibit	vt. 阻止， 妨碍， 抑制
refresh	v. 振作精神， 恢复活力
disclose	vt. 揭露， 泄露， 透露
clan	n. 宗族， 家族
economical	adj. 节约的； 经济学的
prosperous	adj. 繁荣的， 兴旺的
polish	vt. 磨光；修改，润色，使优美 n. 擦光剂
reassess	vt. 再评价
cabinet	n. 橱， 柜； 内阁
evoke	vt. 唤起， 引起， 使人想起
insurance	n. 保险； 保险费
inferiority	n. 自卑； 次等
glare	vi. 怒目而视；发射强光，发出刺眼的光线 n. 强光； 怒视， 瞪眼； 炫耀， 张扬
compile	vt. 汇编； 编制， 编纂
vitality	n. 活力； 生机， 元气
donation	n. 捐款， 捐赠物； 捐赠， 赠送
radiate	v. 发出， 辐射； 流露， 显示
given	adj. 规定的，特定的；假设的，已知的；有癖好的，有倾向的 prep. 考虑到
pastime	n. 消遣， 娱乐
adapt	vt. 使适应； 改编
prosecute	vi. 起诉， 告发 vt. 对…提起公诉，告发，检举；继续从事
batch	n. 一批， 一组， 一群； 一批生产量
verbal	adj. 口头的； 用言辞的， 用文字的； 动词的
solicitor	n. 初级律师， 事务律师
proximity	n. 接近， 邻近
lash	v. 将系牢；鞭打，抽打；猛烈打击；猛烈抨击，严厉斥责 n. 鞭打； 假睫毛； 鞭梢
predestine	vt. 预先确定； 注定
chant	vt. 反复有节奏地喊叫；吟诵，咏唱 n. 反复有节奏的喊叫； 赞美诗， 圣歌
capsule	n. 胶囊； 航天舱， 密封舱
concept	n. 概念， 观念； 设想
resistant	adj. 抵抗的； 抗…的， 耐…的
ozone	n. 臭氧
disaster	n. 灾难， 灾祸， 天灾； 彻底的失败
cocktail	n. 鸡尾酒； 餐前开胃小吃； 混合物
disease	n. 病， 疾病； 不健全， 弊端
calcium	n. 钙
suspicion	n. 怀疑， 疑心， 猜疑； 一点儿， 少量
refusal	n. 拒绝
disposable	adj. 可任意使用的 n. 一次性物品， 不回收物品
fund	n. 资金，基金；存款 vt. 为…提供资金
recipient	n. 接受者， 接收者
assassination	n. 刺杀， 暗杀
gland	n. 腺
premise	n. 房屋和地基， 经营场址； 前提， 假设
attain	vt. 达到， 获得； 完成
tenant	n. 房客， 佃户
batter	v. 连续猛击 n. 面糊
heritage	n. 遗产； 继承物； 传统
supreme	adj. 最高的， 最大的； 极度的， 最重要的
slope	v. 倾斜 n. 倾斜，斜面
regenerate	vi. 新生， 再生， 起革新作用 vt. 使新生，重建，改革，革新
allocate	vt. 分配； 分派， 把…拨给
terrific	adj. 极妙的； 极大的； 令人恐惧的
standpoint	n. 立场， 观点
primary	adj. 首要的， 主要的； 基本的； 最初的， 初级的
consume	vi. 消灭， 毁灭 vt. 消费；吃完，喝光
layer	n. 层， 层次
assure	vt. 使确信； 确保， 向…保证
pretext	n. 借口， 托辞
tumble	vi. 跌倒，摔下，滚下；翻滚；暴跌；不由自主地卷入 n. 跌倒， 摔倒
merely	adv. 仅仅， 只不过
contradiction	n. 矛盾， 不一致； 否认， 反驳
wealth	n. 财富； 财产； 丰富
wallet	n. 皮夹子
survive	vi. 活下来，继续存在；幸免于 vt. 从中挺过来； 从…逃出； 比…活得长
desire	vt. 想要，渴望 n. 愿望， 欲望
efficient	adj. 效率高的； 有能力的
unify	vt. 使联合， 统一； 使相同， 使一致
muddy	adj. 泥泞的，沾满烂泥的；灰暗的，暗淡的；模糊的，糊涂的 vt. 使沾上烂泥； 使显得扑朔迷离
dole	n. 救济，救济金 vt. 发放， 发给
alliance	n. 结盟； 联盟
invaluable	adj. 非常宝贵的， 极为贵重的， 无价的
fiction	n. 小说； 虚构， 杜撰
cucumber	n. 黄瓜
emphasis	n. 强调； 重视； 重要性
interrupt	v. 打断， 中止； 打扰
necessitate	vt. 成为必要， 需要
orthodox	adj. 传统的； 正统的， 正宗的
accustomed	adj. 惯常的， 习惯的
obtain	vi. 通用， 流行； 存在 vt. 获得
statesman	n. 国务活动家， 政治家
porch	n. 门廊
sacrifice	n&v. 牺牲， 舍身； 献祭， 供奉； 祭品
illegal	adj. 不合法的， 非法的
corps	n. 队， 部队； 一组
commute	vi. 乘公交车上下班，经常乘车往返于两地 vt. 减； 折合， 折偿； 上下班交通
sustain	vt. 保持， 使持续下去； 供养， 维持； 支持， 支撑； 经受， 遭受
outcry	n. 大声疾呼， 呐喊； 强烈抗议
principal	adj. 最重要的，主要的 n. 负责人， 校长； 资本， 本金； 主要演员， 主角
exceedingly	adv. 极端地， 非常
relief	n. 轻松， 宽慰； 缓解， 减轻， 解除； 使得到调剂； 接替， 替下
process	n. 过程；制作方法；程序 vt. 加工， 办理
revenge	n. 报复，报仇 vt. 为…报仇， 报…之仇
restore	vt. 恢复， 使恢复； 修复， 整修； 归还， 交还
distill	vt. 蒸馏， 用蒸馏法提取； 吸取， 提炼
concentration	n. 集中； 专注， 专心； 浓缩； 浓度
colleague	n. 同事， 同僚
account	vi. 说明…的原因； 占… n. 记述；解释；账目
stack	n. 堆，垛 vt. 堆积， 堆放于
radioactive	adj. 放射性的， 有辐射能的
impulsive	adj. 冲动的
prime	adj. 首要的；最好的 n. 青春；全盛时期 vt. 使准备好
loyal	adj. 忠诚的， 忠心的
paralysis	n. 麻痹， 瘫痪， 中风； 无能， 无力
court	n. 法院， 法庭； 庭院； 宫廷； 球场
chapel	n. 小教堂， 祈祷室
venture	vi. 冒险； 大胆行事 n. 风险投资，风险项目 vt. 拿…冒险；敢于
enthusiasm	n. 热情， 热心， 热忱； 巨大兴趣
census	n. 人口普查， 统计
corpse	n. 死尸， 尸体
willful	adj. 故意的， 特意的
attitude	n. 态度， 看法； 姿势
relative	adj. 有关系的，相对的 n. 亲属， 亲戚
compare	vt. 比较， 对照； 把…比作
depict	vt. 描绘， 描述
characteristic	adj. 特有的，典型的 n. 特性
involvement	n. 连累； 包含
comet	n. 彗星
deadline	n. 最后期限
bully	n. 恃强欺弱者 vt. 威吓， 欺负
medieval	adj. 中世纪的； 中古的
involve	vt. 使卷入， 牵涉； 包含， 含有
pistol	n. 手枪
mutter	n&v. 轻声低语； 小声抱怨
series	n. 一系列， 连续； 丛书， 连续剧
junk	n. 废旧物品，破烂 vt. 丢弃， 废弃
maximum	adj. 最大的； 最高的； 顶点的 n. 最大量；顶点
imaginative	adj. 富有想象力的， 爱想象的
penguin	n. 企鹅
represent	vt. 作为…的代表， 表示， 象征； 描绘， 表现
masterpiece	n. 杰作
compete	vi. 比赛， 竞争， 对抗
emergency	n. 紧急情况， 突然事件
interpersonal	adj. 人与人之间的， 关于人与人之间关系的
exemplary	adj. 可作楷模的， 典范的
layoff	n. 解雇； 裁员； 歇工期， 停工期
considerate	adj. 考虑周到的， 体贴的， 体谅的
glamor	n. 魅力， 诱惑力
bracket	n. 括号；等级段，档次；壁架，托架 vt. 把…置于括号内； 把…归入同一类
legal	adj. 法律的； 合法的
midst	n. 中部； 中间； 当中
disintegration	n. 破裂， 分裂； 瓦解
sightseeing	n. 观光， 游览
planet	n. 行星
exhaust	vt. 使筋疲力尽，用尽；详尽论述 n. 排气装置； 废气
soluble	adj. 可溶的； 可解决的
feast	vi. 尽情地吃， 宴饮； 参加宴会 n. 盛宴，筵席；节日
accompany	v. 陪同， 伴随； 为…伴奏
armor	n. 盔甲， 装甲； 保护物
acceptance	n. 接受， 承认； 容忍
beneficial	adj. 有利的， 有益的
confusion	n. 困惑， 糊涂； 混淆； 骚乱
blank	adj. 空白的；茫然的，无表情的 n. 空白； 空白表格
additional	adj. 附加的， 追加的
worthy	adj. 有价值的， 值得的
primarily	adv. 首先， 主要地
telecommunications	n. 通信， 电信
outward	adv. 向外地 adj. 外面的，外表的
priest	n. 神父， 牧师
monitor	n. 班长；监视器，检测器；显示器 vt. 监听， 检测
utopian	adj. 乌托邦的； 理想的
tame	adj. 驯服的，顺从的；沉闷的，乏味的 vt. 制服， 控制并利用； 驯化， 驯服
universe	n. 宇宙， 世界； 领域， 范围
idiom	n. 习语， 成语； 风格， 特色
diplomat	n. 外交官， 外交家； 有交际手腕的人， 圆滑的人
sparkle	vi. 发光，闪耀，闪烁；活跃，焕发 n. 闪光， 闪耀， 闪烁； 活力， 生气
staple	adj. 主要的； 经常需要的 n. 订书钉，U形钉；主食；主要产品 vt. 用订书钉订
construct	vt. 建造； 构思 n. 建筑物； 构想； 观念
attempt	vt. 尝试， 试图， 努力
rivalry	n. 竞争， 竞赛； 对抗
relish	vt. 享受，从…中获得乐趣 n. 享受， 滋味， 乐趣； 调味品
fluorescent	adj. 荧光的， 发荧光的
navigation	n. 航行， 航海， 航空； 导航， 领航
gauge	n. 测量仪表；厚度，直径；规格、尺寸 vt. 估计， 判断； 计量， 度量
oriental	adj. 东方的； 东方人的； 东方文化的
electrical	adj. 电的； 电气科学的
protest	v. ['prəutest] n. 抗议， 反对
sensitive	adj. 敏感的， 灵敏的； 神经过敏的， 容易生气的； 易受伤害的
classification	n. 分类， 分级， 分类法； 类别， 级别
brew	vi. 冲泡；酝酿，行将发生 vt. 酿造；冲泡 n. 冲泡的饮料
vacant	adj. 空的， 未被占用的； 空缺的； 茫然的， 空虚的
afford	vt. 担负得起； 提供
curse	v. 诅咒，咒骂，天谴 n. 祸害， 祸根； 咒骂， 诅咒， 咒语
legitimate	adj. 合情合理的；合理的，法律认可的 vt. 使合法
appease	vt. 平息， 抚慰； 姑息
sieve	n. 筛子，漏勺 vt. 筛， 滤
status	n. 地位， 身份； 情形， 状况
machinery	n. 机器， 机械
shield	n. 防护物，护罩；盾 vt. 保护， 防护
bibliography	n. 参考书目； 书目
stream	v. 流出， 涌出 n. 河，溪流；一股，一串
recur	vi. 再发生， 重现
coalition	n. 结合体， 同盟； 结合， 联合
crime	n. 罪， 罪行， 犯罪
leisure	n. 空闲时间； 悠闲
allege	vt. 断言， 宣称， 硬说
segregate	vt. 使隔离， 使分开
withhold	vt. 拒绝， 不给； 抑制， 制止
discreet	adj. 谨慎的， 慎重的， 审慎的
instance	n. 例子， 实例， 事例
bonus	n. 奖金， 红利； 额外给予的东西
aisle	n. 过道， 通道
convene	vi. 开会，集合 vt. 召集
arrangement	n. 整理， 排列； 安排； 准备工作
supplementary	adj. 增补的， 补充的
grain	n. 谷物， 谷粒， 颗粒； 少量， 微量
oxygen	n. 氧， 氧气
intensive	adj. 加强的； 精耕细作的
alter	vt. 改变， 变更， 变动
combine	v. 结合，联合；化合 n. 联合企业； 联合收割机
ideal	adj. 理想的，观念的，空想的 n. 理想， 理想的东西
definitive	adj. 最可靠的， 权威性的； 决定性的
streak	vi. 飞跑，疾驶 n. 条纹，条痕；个性特征；一阵子，一连串 vt. 在…上加条纹
background	n. 出身背景， 经历； 背景资料； 背景， 底子
transit	n. 运输， 载运
adolescent	adj. 青春期的； 青少年的 n. 青少年
nonetheless	adv. 尽管如此， 依然， 然而
dispose	v. 去掉， 销毁； 处理， 解决； 使倾向于
glow	vi. 发光； 燃烧 n. 白热光；脸红；激情
differentiation	n. 区别
cocaine	n. 可卡因， 古柯碱
racket	n. 喧嚷， 吵闹； 敲诈， 勒索， 诈骗； 球拍
sour	adj. 酸的；馊的，酸味的；脾气坏的 v. 变酸， 变馊； 变得乖戾
justification	n. 正当的理由， 借口
immune	adj. 免疫的， 有免疫力的， 不受影响的； 免除的， 豁免的
brochure	n. 小册子
rotary	adj. 旋转的， 转动的
compound	adj. 复合的，化合的 n. 化合物，复合物；复合词 vt. 使恶化， 加重； 使化合， 使合成
dub	vt. 给…起绰号， 把…称为； 为配音， 译制
extraordinary	adj. 非同寻常的， 特别的
witness	n. 证据；目击者，证人 vt. 目击； 为…作证， 证明
authentic	adj. 真的， 真正的； 可靠的， 可信的
mere	adj. 仅仅的， 纯粹的
accommodation	n. 住处， 膳宿
evident	adj. 明显的， 明白的
suburb	n. 郊区， 郊外， 近郊
annoy	vt. 使恼怒； 打搅
profess	vt. 表示， 承认； 宣称信仰
psychological	adj. 心理的
credible	adj. 可信的， 可靠的
commit	vt. 犯， 干； 使承诺； 把…托付给； 调拨…供使用， 拨出
outfit	n. 全套服装； 一组人； 全套装备， 全套工具
reassure	vt. 使放心
bang	v. 猛击， 猛撞； 发出砰的一声， 砰砰地响； 砰地敲 n. 巨响；枪声；猛击
magnetic	adj. 磁的； 有吸引力的
cholesterol	n. 胆固醇
band	n. 乐队；群，伙；带；条纹；波段 vt. 用带绑扎
setback	n. 挫折， 倒退， 失败
symbolic	adj. 符号的； 象征性的
execute	vt. 将…处死； 实施
benefit	vi. 得益 n. 利益，恩惠；救济金，保险金，津贴 vt. 有益于
booth	n. 小房间， 公用电话亭， 岗亭； 售货棚， 货摊
processing	n. 处理
sober	adj. 未醉的，有节制的；严肃的，持重的；素淡的，暗淡的 v. 醒酒， 清醒
crystallize	v. 结晶； 变得清晰而明确； 使具体化
religious	adj. 宗教的； 笃信宗教的， 虔诚的
shelter	v. 掩蔽， 躲避， 庇护 n. 掩蔽处，躲避处；掩蔽，保护
outset	n. 开始， 开端
fundamental	adj. 基础的，基本的 n. 基本原则
cute	adj. 漂亮的， 娇小可爱的； 聪明伶俐的， 精明的
nominal	adj. 名义上的， 有名无实的； 很少的， 象征性的； 名词性的
glance	vi. 看一下 n. 一瞥
galaxy	n. 星系； 银河系， 银河； 一群
equality	n. 等同； 平等； 相等
destruction	n. 破坏， 毁灭； 消灭
expression	n. 词语； 表达， 表情
reaction	n. 反应， 反作用
accordance	n. 一致， 和谐， 符合
weary	vi. 厌烦， 不耐烦 adj. 疲劳的，疲倦的；使人疲劳的，令人厌倦的
swamp	n. 沼泽 vt. 淹没， 浸没； 难倒， 压倒
peninsula	n. 半岛
extensive	adj. 广阔的； 广泛的
residential	adj. 居住的， 住宅的； 寄宿的， 住在住所的
definitely	adv. 一定地， 明确地
